measurement_id,toll_id,timestamp
1,1,2026-02-06 06:00:00
2,2,2026-02-06 06:00:00
3,3,2026-02-06 06:00:00
4,1,2026-02-06 06:01:00
5,2,2026-02-06 06:01:00
6,3,2026-02-06 06:01:00
7,1,2026-02-06 06:02:00
8,2,2026-02-06 06:02:00
9,3,2026-02-06 06:02:00
10,1,2026-02-06 06:03:00
11,2,2026-02-06 06:03:00
12,3,2026-02-06 06:03:00
13,1,2026-02-06 06:04:00
14,2,2026-02-06 06:04:00
15,3,2026-02-06 06:04:00
16,1,2026-02-06 06:05:00
17,2,2026-02-06 06:05:00
18,3,2026-02-06 06:05:00
19,1,2026-02-06 06:06:00
20,2,2026-02-06 06:06:00
21,3,2026-02-06 06:06:00
22,1,2026-02-06 06:07:00
23,2,2026-02-06 06:07:00
24,3,2026-02-06 06:07:00
25,1,2026-02-06 06:08:00
26,2,2026-02-06 06:08:00
27,3,2026-02-06 06:08:00
28,1,2026-02-06 06:09:00
29,2,2026-02-06 06:09:00
30,3,2026-02-06 06:09:00
31,1,2026-02-06 06:10:00
32,2,2026-02-06 06:10:00
33,3,2026-02-06 06:10:00
34,1,2026-02-06 06:11:00
35,2,2026-02-06 06:11:00
36,3,2026-02-06 06:11:00
37,1,2026-02-06 06:12:00
38,2,2026-02-06 06:12:00
39,3,2026-02-06 06:12:00
40,1,2026-02-06 06:13:00
41,2,2026-02-06 06:13:00
42,3,2026-02-06 06:13:00
43,1,2026-02-06 06:14:00
44,2,2026-02-06 06:14:00
45,3,2026-02-06 06:14:00
46,1,2026-02-06 06:15:00
47,2,2026-02-06 06:15:00
48,3,2026-02-06 06:15:00
49,1,2026-02-06 06:16:00
50,2,2026-02-06 06:16:00
51,3,2026-02-06 06:16:00
52,1,2026-02-06 06:17:00
53,2,2026-02-06 06:17:00
54,3,2026-02-06 06:17:00
55,1,2026-02-06 06:18:00
56,2,2026-02-06 06:18:00
57,3,2026-02-06 06:18:00
58,1,2026-02-06 06:19:00
59,2,2026-02-06 06:19:00
60,3,2026-02-06 06:19:00
61,1,2026-02-06 06:20:00
62,2,2026-02-06 06:20:00
63,3,2026-02-06 06:20:00
64,1,2026-02-06 06:21:00
65,2,2026-02-06 06:21:00
66,3,2026-02-06 06:21:00
67,1,2026-02-06 06:22:00
68,2,2026-02-06 06:22:00
69,3,2026-02-06 06:22:00
70,1,2026-02-06 06:23:00
71,2,2026-02-06 06:23:00
72,3,2026-02-06 06:23:00
73,1,2026-02-06 06:24:00
74,2,2026-02-06 06:24:00
75,3,2026-02-06 06:24:00
76,1,2026-02-06 06:25:00
77,2,2026-02-06 06:25:00
78,3,2026-02-06 06:25:00
79,1,2026-02-06 06:26:00
80,2,2026-02-06 06:26:00
81,3,2026-02-06 06:26:00
82,1,2026-02-06 06:27:00
83,2,2026-02-06 06:27:00
84,3,2026-02-06 06:27:00
85,1,2026-02-06 06:28:00
86,2,2026-02-06 06:28:00
87,3,2026-02-06 06:28:00
88,1,2026-02-06 06:29:00
89,2,2026-02-06 06:29:00
90,3,2026-02-06 06:29:00
91,1,2026-02-06 06:30:00
92,2,2026-02-06 06:30:00
93,3,2026-02-06 06:30:00
94,1,2026-02-06 06:31:00
95,2,2026-02-06 06:31:00
96,3,2026-02-06 06:31:00
97,1,2026-02-06 06:32:00
98,2,2026-02-06 06:32:00
99,3,2026-02-06 06:32:00
100,1,2026-02-06 06:33:00
101,2,2026-02-06 06:33:00
102,3,2026-02-06 06:33:00
103,1,2026-02-06 06:34:00
104,2,2026-02-06 06:34:00
105,3,2026-02-06 06:34:00
106,1,2026-02-06 06:35:00
107,2,2026-02-06 06:35:00
108,3,2026-02-06 06:35:00
109,1,2026-02-06 06:36:00
110,2,2026-02-06 06:36:00
111,3,2026-02-06 06:36:00
112,1,2026-02-06 06:37:00
113,2,2026-02-06 06:37:00
114,3,2026-02-06 06:37:00
115,1,2026-02-06 06:38:00
116,2,2026-02-06 06:38:00
117,3,2026-02-06 06:38:00
118,1,2026-02-06 06:39:00
119,2,2026-02-06 06:39:00
120,3,2026-02-06 06:39:00
121,1,2026-02-06 06:40:00
122,2,2026-02-06 06:40:00
123,3,2026-02-06 06:40:00
124,1,2026-02-06 06:41:00
125,2,2026-02-06 06:41:00
126,3,2026-02-06 06:41:00
127,1,2026-02-06 06:42:00
128,2,2026-02-06 06:42:00
129,3,2026-02-06 06:42:00
130,1,2026-02-06 06:43:00
131,2,2026-02-06 06:43:00
132,3,2026-02-06 06:43:00
133,1,2026-02-06 06:44:00
134,2,2026-02-06 06:44:00
135,3,2026-02-06 06:44:00
136,1,2026-02-06 06:45:00
137,2,2026-02-06 06:45:00
138,3,2026-02-06 06:45:00
139,1,2026-02-06 06:46:00
140,2,2026-02-06 06:46:00
141,3,2026-02-06 06:46:00
142,1,2026-02-06 06:47:00
143,2,2026-02-06 06:47:00
144,3,2026-02-06 06:47:00
145,1,2026-02-06 06:48:00
146,2,2026-02-06 06:48:00
147,3,2026-02-06 06:48:00
148,1,2026-02-06 06:49:00
149,2,2026-02-06 06:49:00
150,3,2026-02-06 06:49:00
151,1,2026-02-06 06:50:00
152,2,2026-02-06 06:50:00
153,3,2026-02-06 06:50:00
154,1,2026-02-06 06:51:00
155,2,2026-02-06 06:51:00
156,3,2026-02-06 06:51:00
157,1,2026-02-06 06:52:00
158,2,2026-02-06 06:52:00
159,3,2026-02-06 06:52:00
160,1,2026-02-06 06:53:00
161,2,2026-02-06 06:53:00
162,3,2026-02-06 06:53:00
163,1,2026-02-06 06:54:00
164,2,2026-02-06 06:54:00
165,3,2026-02-06 06:54:00
166,1,2026-02-06 06:55:00
167,2,2026-02-06 06:55:00
168,3,2026-02-06 06:55:00
169,1,2026-02-06 06:56:00
170,2,2026-02-06 06:56:00
171,3,2026-02-06 06:56:00
172,1,2026-02-06 06:57:00
173,2,2026-02-06 06:57:00
174,3,2026-02-06 06:57:00
175,1,2026-02-06 06:58:00
176,1,2026-02-06 06:59:00
177,2,2026-02-06 06:59:00
178,3,2026-02-06 06:59:00
179,1,2026-02-06 07:00:00
180,2,2026-02-06 07:00:00
181,1,2026-02-06 07:01:00
182,2,2026-02-06 07:01:00
183,3,2026-02-06 07:01:00
184,1,2026-02-06 07:02:00
185,2,2026-02-06 07:02:00
186,3,2026-02-06 07:02:00
187,1,2026-02-06 07:03:00
188,2,2026-02-06 07:03:00
189,1,2026-02-06 07:04:00
190,2,2026-02-06 07:04:00
191,2,2026-02-06 07:05:00
192,1,2026-02-06 07:06:00
193,2,2026-02-06 07:06:00
194,2,2026-02-06 07:07:00
195,3,2026-02-06 07:07:00
196,1,2026-02-06 07:08:00
197,2,2026-02-06 07:08:00
198,1,2026-02-06 07:09:00
199,2,2026-02-06 07:09:00
200,1,2026-02-06 07:10:00
201,2,2026-02-06 07:10:00
202,2,2026-02-06 07:11:00
203,2,2026-02-06 07:12:00
204,1,2026-02-06 07:13:00
205,2,2026-02-06 07:13:00
206,1,2026-02-06 07:14:00
207,2,2026-02-06 07:14:00
208,3,2026-02-06 07:14:00
209,2,2026-02-06 07:15:00
210,1,2026-02-06 07:16:00
211,2,2026-02-06 07:16:00
212,1,2026-02-06 07:18:00
213,2,2026-02-06 07:18:00
214,2,2026-02-06 07:19:00
215,1,2026-02-06 07:20:00
216,2,2026-02-06 07:20:00
217,3,2026-02-06 07:20:00
218,1,2026-02-06 07:21:00
219,2,2026-02-06 07:21:00
220,2,2026-02-06 07:23:00
221,1,2026-02-06 07:24:00
222,1,2026-02-06 07:25:00
223,2,2026-02-06 07:25:00
224,1,2026-02-06 07:26:00
225,2,2026-02-06 07:26:00
226,2,2026-02-06 07:27:00
227,2,2026-02-06 07:28:00
228,2,2026-02-06 07:30:00
229,1,2026-02-06 07:31:00
230,2,2026-02-06 07:31:00
231,1,2026-02-06 07:32:00
232,2,2026-02-06 07:32:00
233,2,2026-02-06 07:33:00
234,1,2026-02-06 07:34:00
235,3,2026-02-06 07:34:00
236,1,2026-02-06 07:35:00
237,2,2026-02-06 07:35:00
238,1,2026-02-06 07:36:00
239,2,2026-02-06 07:36:00
240,2,2026-02-06 07:37:00
241,3,2026-02-06 07:37:00
242,1,2026-02-06 07:38:00
243,2,2026-02-06 07:38:00
244,1,2026-02-06 07:39:00
245,2,2026-02-06 07:39:00
246,1,2026-02-06 07:40:00
247,2,2026-02-06 07:40:00
248,1,2026-02-06 07:41:00
249,2,2026-02-06 07:41:00
250,1,2026-02-06 07:42:00
251,2,2026-02-06 07:42:00
252,2,2026-02-06 07:43:00
253,1,2026-02-06 07:44:00
254,2,2026-02-06 07:44:00
255,1,2026-02-06 07:45:00
256,2,2026-02-06 07:45:00
257,1,2026-02-06 07:46:00
258,2,2026-02-06 07:46:00
259,3,2026-02-06 07:46:00
260,2,2026-02-06 07:47:00
261,1,2026-02-06 07:48:00
262,2,2026-02-06 07:49:00
263,1,2026-02-06 07:50:00
264,2,2026-02-06 07:50:00
265,1,2026-02-06 07:51:00
266,2,2026-02-06 07:51:00
267,1,2026-02-06 07:52:00
268,2,2026-02-06 07:52:00
269,1,2026-02-06 07:53:00
270,2,2026-02-06 07:53:00
271,1,2026-02-06 07:54:00
272,2,2026-02-06 07:54:00
273,1,2026-02-06 07:55:00
274,2,2026-02-06 07:55:00
275,3,2026-02-06 07:55:00
276,1,2026-02-06 07:56:00
277,2,2026-02-06 07:56:00
278,3,2026-02-06 07:56:00
279,2,2026-02-06 07:57:00
280,1,2026-02-06 07:58:00
281,2,2026-02-06 07:58:00
282,1,2026-02-06 07:59:00
283,2,2026-02-06 07:59:00
284,3,2026-02-06 07:59:00
285,1,2026-02-06 08:00:00
286,2,2026-02-06 08:00:00
287,3,2026-02-06 08:00:00
288,1,2026-02-06 08:01:00
289,2,2026-02-06 08:01:00
290,1,2026-02-06 08:02:00
291,2,2026-02-06 08:02:00
292,3,2026-02-06 08:02:00
293,1,2026-02-06 08:03:00
294,2,2026-02-06 08:03:00
295,3,2026-02-06 08:03:00
296,1,2026-02-06 08:04:00
297,2,2026-02-06 08:04:00
298,3,2026-02-06 08:04:00
299,1,2026-02-06 08:05:00
300,2,2026-02-06 08:05:00
301,3,2026-02-06 08:05:00
302,1,2026-02-06 08:06:00
303,2,2026-02-06 08:06:00
304,3,2026-02-06 08:06:00
305,1,2026-02-06 08:07:00
306,2,2026-02-06 08:07:00
307,3,2026-02-06 08:07:00
308,1,2026-02-06 08:08:00
309,2,2026-02-06 08:08:00
310,3,2026-02-06 08:08:00
311,1,2026-02-06 08:09:00
312,2,2026-02-06 08:09:00
313,3,2026-02-06 08:09:00
314,1,2026-02-06 08:10:00
315,2,2026-02-06 08:10:00
316,3,2026-02-06 08:10:00
317,1,2026-02-06 08:11:00
318,2,2026-02-06 08:11:00
319,3,2026-02-06 08:11:00
320,1,2026-02-06 08:12:00
321,2,2026-02-06 08:12:00
322,1,2026-02-06 08:13:00
323,2,2026-02-06 08:13:00
324,3,2026-02-06 08:13:00
325,1,2026-02-06 08:14:00
326,2,2026-02-06 08:14:00
327,3,2026-02-06 08:14:00
328,1,2026-02-06 08:15:00
329,2,2026-02-06 08:15:00
330,3,2026-02-06 08:15:00
331,1,2026-02-06 08:16:00
332,2,2026-02-06 08:16:00
333,3,2026-02-06 08:16:00
334,1,2026-02-06 08:17:00
335,2,2026-02-06 08:17:00
336,3,2026-02-06 08:17:00
337,1,2026-02-06 08:18:00
338,2,2026-02-06 08:18:00
339,3,2026-02-06 08:18:00
340,1,2026-02-06 08:19:00
341,2,2026-02-06 08:19:00
342,3,2026-02-06 08:19:00
343,1,2026-02-06 08:20:00
344,2,2026-02-06 08:20:00
345,3,2026-02-06 08:20:00
346,1,2026-02-06 08:21:00
347,2,2026-02-06 08:21:00
348,3,2026-02-06 08:21:00
349,1,2026-02-06 08:22:00
350,2,2026-02-06 08:22:00
351,3,2026-02-06 08:22:00
352,1,2026-02-06 08:23:00
353,2,2026-02-06 08:23:00
354,3,2026-02-06 08:23:00
355,1,2026-02-06 08:24:00
356,2,2026-02-06 08:24:00
357,3,2026-02-06 08:24:00
358,1,2026-02-06 08:25:00
359,2,2026-02-06 08:25:00
360,3,2026-02-06 08:25:00
